movie_title,hero_gender,hero_gender2,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
Ernest Scared Stupid,male,1,11-Oct-91,Comedy,PG,"$14,143,280 ","$28,320,147.00"
Billy Bathgate,male,1,1-Nov-91,Drama,R,"$15,565,363 ","$31,167,691.00"
Beauty and the Beast,female,2,13-Nov-91,Musical,G,"$218,951,625 ","$363,017,667.00"
Father of the Bride,male,1,20-Dec-91,Comedy,PG,"$89,325,780 ","$179,821,881.00"
The Hand That Rocks the Cradle,female,2,10-Jan-92,Thriller/Suspense,R,"$88,036,683 ","$178,831,137.00"
Medicine Man,male,1,7-Feb-92,Drama,PG-13,"$44,948,240 ","$91,304,495.00"
Blame it on the Bellboy,male,1,6-Mar-92,Comedy,PG-13,"$2,891,055 ","$5,872,667.00"
Noises Off...,female,2,20-Mar-92,Comedy,PG-13,"$2,280,148 ","$4,631,720.00"
Straight Talk,female,2,3-Apr-92,Comedy,PG,"$21,202,099 ","$43,068,356.00"
Newsies,female,2,8-Apr-92,,PG,"$2,706,352 ","$5,497,481.00"
Passed Away,male,1,24-Apr-92,,PG-13,"$4,030,793 ","$8,187,848.00"
Encino Man,male,1,22-May-92,Comedy,PG,"$40,057,130 ","$81,369,058.00"
Sister Act,female,2,29-May-92,Comedy,PG,"$139,605,150 ","$283,583,472.00"
Honey I Blew Up the Kid,male,1,17-Jul-92,Comedy,PG,"$58,662,452 ","$119,162,518.00"
A Stranger Among Us,male,1,17-Jul-92,Drama,PG-13,"$12,282,994 ","$24,950,752.00"
3 Ninjas,male,1,7-Aug-92,Action,PG,"$29,028,000 ","$58,965,304.00"
A Gun in Betty Lou's Handbag,female,2,21-Aug-92,,PG-13,"$3,591,460 ","$7,295,423.00"
Captain Ron,male,1,18-Sep-92,Comedy,PG-13,"$22,518,097 ","$45,741,576.00"
Sarafina!,female,2,18-Sep-92,Drama,PG-13,"$7,306,242 ","$14,841,352.00"
Innocent Blood,male,1,25-Sep-92,Horror,R,"$4,877,567 ","$9,907,922.00"
The Mighty Ducks,male,1,2-Oct-92,Comedy,PG,"$50,752,337 ","$103,120,810.00"
1492: Conquest of Paradise,male,1,9-Oct-92,Adventure,PG-13,"$7,099,531 ","$14,421,454.00"
Consenting Adults,female,2,16-Oct-92,Drama,R,"$21,591,728 ","$43,859,823.00"
Aladdin,male,1,11-Nov-92,Comedy,G,"$217,350,219 ","$441,969,178.00"
The Distinguished Gentleman,male,1,4-Dec-92,Comedy,R,"$46,434,570 ","$94,349,900.00"
The Muppet Christmas Carol,male,1,11-Dec-92,Comedy,G,"$27,281,507 ","$55,417,615.00"
Alive,male,1,15-Jan-93,Adventure,R,"$36,299,670 ","$73,914,543.00"
Aspen Extreme,female,2,22-Jan-93,Romantic Comedy,PG-13,"$7,843,388 ","$15,970,955.00"
Homeward Bound: The Incredible Journey,male,1,3-Feb-93,Adventure,G,"$41,833,324 ","$85,182,343.00"
The Cemetery Club,male,1,3-Feb-93,Comedy,PG-13,"$5,583,621 ","$11,369,541.00"
Swing Kids,female,2,5-Mar-93,Musical,PG-13,"$5,632,086 ","$11,468,231.00"
A Far Off Place,male,1,12-Mar-93,Adventure,PG,"$12,890,752 ","$26,248,558.00"
Born Yesterday,male,1,26-Mar-93,Romantic Comedy,PG,"$17,760,754 ","$36,165,012.00"
The Adventures of Huck Finn,male,1,2-Apr-93,Adventure,PG,"$24,103,594 ","$49,080,505.00"
Bound by Honor,male,1,16-Apr-93,,R,"$4,496,583 ","$9,156,084.00"
Indian Summer,female,2,23-Apr-93,Comedy,R,"$14,717,851 ","$29,968,953.00"
Super Mario Bros.,male,1,28-May-93,Action,PG,"$20,844,907 ","$42,445,058.00"
