movie_title,hero_gender,hero_gender2,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
Beloved,female,2,16-Oct-98,Drama,R,22852487.00,41062682.00
The Waterboy,male,1,6-Nov-98,Comedy,PG-13,161491646.00,288691833.00
I'll Be Home For Christmas,male,1,13-Nov-98,Comedy,PG,12214338.00,21941840.00
A Bug's Life,male,1,20-Nov-98,Adventure,G,162798565.00,288981698.00
Enemy of the State,male,1,20-Nov-98,Action,R,111549836.00,198472008.00
Rushmore,male,1,11-Dec-98,Black Comedy,R,17105219.00,28392518.00
A Civil Action,female,2,25-Dec-98,Drama,PG-13,56709981.00,94139530.00
Mighty Joe Young,male,1,25-Dec-98,Adventure,PG,50632037.00,87906042.00
My Favorite Martian,male,1,12-Feb-99,Comedy,PG,36850101.00,61150849.00
The Other Sister,female,2,26-Feb-99,Romantic Comedy,PG-13,27807627.00,46145331.00
Doug's 1st Movie,male,1,26-Mar-99,Adventure,G,19421271.00,32228598.00
Ten Things I Hate About You,female,2,31-Mar-99,Romantic Comedy,PG-13,38177966.00,63354375.00
Endurance,female,2,14-May-99,,PG,229128.00,380218.00
Instinct,female,2,4-Jun-99,Drama,R,34105207.00,56595842.00
Tarzan,male,1,16-Jun-99,Adventure,G,171091819.00,283900254.00
Summer of Sam,male,1,2-Jul-99,Drama,R,19288130.00,32007656.00
Inspector Gadget,female,2,23-Jul-99,Comedy,PG,97387965.00,161610341.00
The Sixth Sense,male,1,6-Aug-99,Thriller/Suspense,PG-13,293506292.00,485424724.00
The 13th Warrior,male,1,27-Aug-99,Action,R,32698899.00,54262148.00
Breakfast of Champions,male,1,17-Sep-99,Comedy,R,178287.00,295851.00
Mumford,male,1,24-Sep-99,Comedy,R,4559569.00,7566363.00
"Mystery, Alaska",male,1,1-Oct-99,Comedy,R,8891623.00,14755189.00
The Straight Story,male,1,15-Oct-99,Drama,G,6197866.00,10111144.00
The Insider,male,1,5-Nov-99,Drama,R,28965197.00,47794214.00
Toy Story 2,male,1,19-Nov-99,Adventure,G,245852179.00,404450426.00
Cradle Will Rock,female,2,8-Dec-99,Drama,R,2899970.00,4609153.00
Deuce Bigalow: Male Gigolo,male,1,10-Dec-99,Comedy,R,65535067.00,106921374.00
Bicentennial Man,male,1,17-Dec-99,Drama,PG,58220776.00,94838225.00
Play it to the Bone,male,1,24-Dec-99,Comedy,R,8427204.00,13180524.00
Fantasia 2000 (IMAX),male,1,1-Jan-00,Musical,G,60507228.00,94852354.00
Gun Shy,male,1,4-Feb-00,Comedy,R,1638202.00,2562155.00
The Tigger Movie,male,1,11-Feb-00,Adventure,G,45542421.00,71228678.00
Mission to Mars,male,1,10-Mar-00,Adventure,PG,60874615.00,95208344.00
High Fidelity,male,1,31-Mar-00,Comedy,R,27277055.00,42661516.00
Keeping the Faith,female,2,14-Apr-00,Romantic Comedy,PG-13,37036404.00,57925202.00
Dinosaur,male,1,19-May-00,Adventure,PG,137748063.00,215438985.00
Shanghai Noon,male,1,26-May-00,Western,PG-13,56932305.00,89042541.00
Gone in 60 Seconds,male,1,9-Jun-00,Action,PG-13,101643008.00,158970411.00
Fantasia 2000 (Theatrical Release),male,1,16-Jun-00,Musical,G,9103630.00,14238144.00
The Kid,male,1,7-Jul-00,Comedy,PG,69688384.00,108993148.00
Coyote Ugly,female,2,4-Aug-00,Drama,PG-13,60786269.00,95070168.00
The Crew,male,1,25-Aug-00,Comedy,PG-13,13019253.00,20362201.00
Duets,male,1,15-Sep-00,Drama,R,4734235.00,7404372.00
Remember the Titans,male,1,29-Sep-00,Drama,PG,115654751.00,180742479.00
Unbreakable,male,1,22-Nov-00,Thriller/Suspense,PG-13,94999143.00,148208901.00
102 Dalmatians,male,1,22-Nov-00,Comedy,G,66941559.00,104055039.00
The Emperor's New Groove,male,1,15-Dec-00,Adventure,G,89296573.00,136789252.00
"O Brother, Where Art Thou?",male,1,22-Dec-00,Comedy,PG-13,45506619.00,67922002.00
Double Take,male,1,12-Jan-01,Action,PG-13,29823162.00,44418589.00
Recess: School's Out,female,2,16-Feb-01,Comedy,G,36696761.00,54656124.00
Just Visiting,male,1,6-Apr-01,Comedy,PG-13,4777007.00,7114869.00
Pearl Harbor,male,1,25-May-01,Action,PG-13,198539855.00,295705112.00
